rank,major,avg_gpa,pct_A,dfw_rate,exact_gpa,dept_gpa,gateway_gpa,specific_gpa,num_gateway_courses,num_specific_courses,num_exact_courses,num_required_courses,num_dept_courses,total_students
1,Economics BA,3.168,45.1,4.0,3.168,,3.041,3.163,11,8,19,21,344,55412
2,Business Economics BA,3.181,46.5,3.8,3.181,,3.041,3.179,11,5,16,18,372,54790
3,Mathematics/Economics BS,3.241,51.7,4.3,3.241,,3.181,3.298,33,4,37,41,303,79746
4,Linguistics and Computer Science BA,3.254,53.6,4.9,3.254,,3.19,3.276,26,2,28,33,216,42592
5,Financial Actuarial Mathematics BS,3.27,53.4,3.8,3.27,,3.215,3.165,24,9,33,36,414,66052
6,Atmospheric and Oceanic Sciences/Mathematics BS,3.313,56.3,3.9,3.313,,3.259,3.734,34,6,40,47,379,82224
7,Mathematics for Teaching BS,3.334,57.3,3.8,3.334,,3.297,3.3,35,9,44,47,331,90326
8,Applied Mathematics BS,3.336,57.6,3.8,3.336,,3.301,,40,0,40,41,331,80030
9,Mathematics of Computation BS,3.337,57.5,3.8,3.337,,3.302,,31,0,31,31,331,75329
10,Chemistry BS,3.34,57.5,3.9,3.34,,3.325,3.314,42,1,43,56,347,76721
11,Chemistry/Materials Science BS,3.343,57.5,3.9,3.343,,3.325,3.506,44,7,51,68,390,69989
12,Linguistics and Philosophy BA,3.343,58.9,4.6,3.343,,3.318,3.578,26,6,32,40,294,27343
13,Physics BS,3.347,58.5,3.9,3.347,,3.334,3.553,34,11,45,52,347,69347
14,Physics BA,3.348,58.6,3.9,3.348,,3.338,,29,0,29,29,347,65614
15,Astrophysics BS,3.351,58.7,3.9,3.351,,3.338,3.376,31,13,44,51,394,66885
16,Computer Science BS,3.351,58.1,3.7,3.351,,3.299,3.538,30,2,32,32,484,83511
17,Statistics and Data Science BS,3.352,59.4,4.9,3.352,,3.338,,21,0,21,21,170,44198
18,Atmospheric and Oceanic Sciences BS,3.354,58.3,3.5,3.354,,3.316,3.45,35,1,36,36,396,99264
19,Mathematics BS,3.355,57.8,3.4,3.355,,3.323,3.271,39,3,42,43,545,109031
20,Computer Science and Engineering BS,3.356,58.5,3.7,3.356,,3.301,3.588,33,4,37,38,484,90484
21,Materials Engineering BS,3.359,58.3,3.4,3.359,,3.309,3.449,37,23,60,71,740,76811
22,Electrical Engineering BS,3.361,59.1,3.7,3.361,,3.342,3.402,21,13,34,34,442,74658
23,Linguistics and Spanish BA,3.362,60.7,4.5,3.362,,3.346,,27,0,27,32,253,24529
24,Climate Science BS,3.366,59.0,3.4,3.366,,3.326,3.612,35,2,37,37,459,104927
25,Data Theory BS,3.368,60.3,4.9,3.368,,3.356,3.519,27,15,42,42,170,69051
26,Earth and Environmental Science BA,3.368,59.0,3.2,3.368,,3.31,,28,0,28,31,466,56418
27,Linguistics and Anthropology BA,3.37,60.8,4.4,3.37,,3.352,3.301,26,3,29,39,430,26022
28,Linguistics and English BA,3.37,60.8,4.4,3.37,,3.324,3.561,21,11,32,39,354,25912
29,Computer Engineering BS,3.372,59.4,3.5,3.372,,3.312,3.589,32,7,39,43,530,87992
30,Aerospace Engineering BS,3.372,59.2,3.6,3.372,,3.341,3.467,25,33,58,77,576,75885
31,Mechanical Engineering BS,3.375,59.4,3.6,3.375,,3.341,3.485,25,35,60,77,576,77640
32,Chemical Engineering BS,3.377,59.6,3.6,3.377,,3.342,3.598,25,27,52,62,545,75537
33,Biochemistry BS,3.379,58.6,3.4,3.379,,3.361,3.237,44,2,46,54,388,145367
34,Geology BS,3.393,60.7,3.3,3.393,,3.354,3.616,35,6,41,53,399,83769
35,Linguistics and Asian Languages and Cultures BA,3.395,62.7,4.3,3.395,,3.36,3.741,27,17,44,74,392,26856
36,General Chemistry BS,3.397,60.5,3.2,3.397,,3.35,3.744,39,10,49,65,600,101064
37,Bioengineering BS,3.397,60.1,3.2,3.397,,3.368,3.474,30,29,59,73,710,100550
38,Biophysics BS,3.397,60.8,3.2,3.397,,3.372,3.61,31,6,37,40,422,85524
39,Engineering Geology BS,3.403,61.5,3.3,3.403,,3.372,3.367,27,7,34,36,399,58638
40,Civil Engineering BS,3.409,61.2,3.2,3.409,,3.368,3.618,26,38,64,88,699,93205
41,Geophysics BS,3.411,62.6,3.5,3.411,,3.367,,29,0,29,38,274,53602
42,Physiological Science BS,3.416,61.0,3.2,3.416,,3.39,3.595,37,3,40,40,388,176937
43,Applied Linguistics BA,3.418,63.5,3.4,3.418,,3.359,3.617,30,9,39,68,653,33455
44,Computational Biology BS,3.419,61.2,2.9,3.419,,3.372,3.597,77,18,95,114,930,207782
45,Mathematics/Applied Science BS,3.422,61.4,3.0,3.422,,3.392,3.495,48,1,49,56,802,123247
46,Sociology BA,3.422,61.8,3.2,3.422,,3.413,3.291,19,27,46,58,217,49509
47,Linguistics BA,3.424,63.4,3.7,3.424,,3.398,3.919,24,3,27,32,487,37489
48,Anthropology BS,3.427,61.9,3.3,3.427,,3.411,3.76,38,5,43,46,419,139879
49,"Microbiology, Immunology, and Molecular Genetics BS",3.429,61.7,3.0,3.429,,3.405,3.538,74,19,93,118,730,207565
50,"Molecular, Cell, and Developmental Biology BS",3.43,62.0,3.0,3.43,,3.405,3.92,63,7,70,80,641,197831
51,"Ecology, Behavior, and Evolution BS",3.436,62.4,3.0,3.436,,3.404,3.554,85,3,88,128,842,186833
52,Nursing BS Prelicensure,3.437,62.3,2.9,3.437,,3.381,3.589,10,26,36,37,497,70086
53,Neuroscience BS,3.438,62.4,2.9,3.438,,3.393,3.734,59,39,98,131,587,212619
54,Marine Biology BS,3.438,62.6,2.9,3.438,,3.4,3.814,97,2,99,147,1056,194967
55,Communication BA,3.442,63.4,2.9,3.442,,3.373,3.484,32,60,92,116,909,91378
56,Linguistics and Psychology BA,3.445,63.7,3.8,3.445,,3.433,3.621,32,9,41,48,338,63099
57,Public Health BS,3.445,62.6,3.1,3.445,,3.431,3.788,30,7,37,41,567,148151
58,Psychobiology BS,3.447,63.0,2.8,3.447,,3.416,3.797,89,10,99,112,646,243575
59,Environmental Science BS,3.449,63.1,2.8,3.449,,3.386,3.687,124,52,176,235,1194,212018
60,Biology BS,3.449,63.1,2.9,3.449,,3.41,3.703,144,36,180,261,968,240448
61,Cognitive Science BS,3.466,64.2,3.0,3.466,,3.435,3.629,62,30,92,114,903,140101
62,African and Middle Eastern Studies BA,3.474,64.9,2.6,3.474,,3.434,3.542,74,17,91,202,1131,39483
63,Psychology BA,3.483,64.7,2.4,3.483,,3.458,3.599,40,14,54,65,474,114921
64,Public Health BA,3.488,65.5,2.3,3.488,,3.456,3.791,7,8,15,19,395,42863
65,Human Biology and Society BS,3.488,65.8,2.7,3.488,,3.437,3.762,146,48,194,277,1911,266999
66,Latin American Studies BA,3.495,66.3,2.4,3.495,,3.438,3.726,72,13,85,144,1360,41346
67,European Studies BA,3.5,66.4,2.5,3.5,,3.453,3.662,92,25,117,255,1301,45309
68,Asian Studies BA,3.507,67.1,2.3,3.507,,3.442,3.65,87,36,123,272,1372,45366
69,International Development Studies BA,3.508,67.4,2.3,3.508,,3.435,3.469,106,48,154,240,1681,94329
70,Philosophy BA,3.516,66.5,2.6,3.516,,3.45,3.649,4,3,7,9,71,5764
71,Political Science BA,3.52,68.3,2.4,3.52,,3.477,,8,0,8,8,143,19491
72,Geography BA,3.541,69.3,2.6,3.541,,3.529,,6,0,6,8,130,3694
73,Human Biology and Society BA,3.552,69.4,2.3,3.552,,3.512,3.79,132,53,185,274,1846,163927
74,Geography/Environmental Studies BA,3.553,69.7,2.6,3.553,,3.555,3.537,28,22,50,68,130,15885
75,Global Studies BA,3.578,72.0,2.1,3.578,,3.519,3.754,90,34,124,175,1629,87365
76,Art History BA,3.587,73.8,2.4,3.587,,3.658,3.533,3,23,26,99,40,1994
77,Spanish and Linguistics BA,3.595,74.9,2.8,3.595,,3.576,,16,0,16,19,66,8408
78,Middle Eastern Studies BA,3.599,74.0,2.7,3.599,,3.653,3.655,29,25,54,191,681,12986
79,Anthropology BA,3.602,75.9,3.3,3.602,,3.558,3.726,14,10,24,28,78,13012
80,American Indian Studies BA,3.606,74.0,2.5,3.606,,3.593,3.602,21,9,30,64,1056,13287
81,Jewish Studies BA,3.619,75.5,2.1,3.619,,3.566,3.804,12,4,16,75,437,2588
82,Comparative Literature BA,3.628,74.6,1.7,3.628,,3.643,3.559,5,2,7,14,17,2062
83,Labor Studies BA,3.632,75.9,2.7,3.632,,3.782,3.553,17,28,45,90,776,18680
84,Ancient Near East and Egyptology BA,3.634,78.0,2.7,3.634,,3.583,3.667,17,9,26,92,274,8438
85,Disability Studies BA,3.638,76.1,1.9,3.638,,3.59,3.783,38,33,71,104,1715,62853
86,Russian Studies BA,3.649,77.1,2.1,3.649,,3.668,2.871,15,1,16,47,243,1924
87,Study of Religion BA,3.651,77.3,2.3,3.651,,3.65,3.635,18,31,49,121,665,16144
88,Asian Languages and Linguistics BA,3.654,77.8,2.5,3.654,,3.647,3.733,20,4,24,46,154,8731
89,English BA,3.658,75.7,1.5,3.658,,3.79,3.619,6,56,62,95,159,16127
90,Spanish and Community and Culture BA,3.662,78.2,3.3,3.662,,3.732,3.799,14,12,26,34,175,7820
91,American Literature and Culture BA,3.666,76.4,1.5,3.666,,3.783,3.637,7,59,66,96,159,16502
92,Latin BA,3.676,78.9,1.9,3.676,,3.672,3.617,11,2,13,24,171,4219
93,Greek and Latin BA,3.676,78.9,1.9,3.676,,3.672,3.617,11,2,13,31,171,4219
94,Chinese BA,3.68,78.4,2.0,3.68,,3.62,3.765,6,13,19,53,38,2871
95,Central and East European Languages and Cultures BA,3.683,78.7,2.0,3.683,,3.724,3.621,11,4,15,81,167,1506
96,Korean BA,3.684,79.1,1.8,3.684,,3.624,3.759,8,11,19,64,39,2160
97,Greek BA,3.685,79.8,1.9,3.685,,3.679,,10,0,10,24,168,3509
98,Nordic Studies BA,3.689,81.5,1.9,3.689,,3.61,3.761,9,3,12,30,22,882
99,History BA,3.689,79.5,2.0,3.689,,3.734,3.663,19,27,46,96,142,19221
100,Asian Religions BA,3.691,79.7,1.5,3.691,,3.656,,9,0,9,23,124,1445
101,Arabic BA,3.694,80.4,2.4,3.694,,3.756,3.7,14,8,22,65,372,4165
102,Ethnomusicology BA,3.702,79.7,1.0,3.702,,3.483,3.622,2,14,16,68,43,890
103,Spanish and Portuguese BA,3.707,81.2,1.9,3.707,,3.712,,11,0,11,20,36,4116
104,European Languages and Transcultural Studies BA,3.707,80.7,1.7,3.707,,3.733,3.62,45,3,48,134,613,8157
105,Japanese BA,3.71,80.2,1.7,3.71,,3.739,3.671,9,10,19,55,32,4098
106,Asian Humanities BA,3.712,81.0,1.5,3.712,,3.691,,16,0,16,32,124,5853
107,Southeast Asian Studies BA,3.712,80.6,2.3,3.712,,3.686,3.833,7,9,16,50,429,2105
108,African American Studies BA,3.717,82.4,1.9,3.717,,3.66,3.742,4,21,25,69,36,5073
109,European Languages and Transcultural Studies with Scandinavian BA,3.718,81.5,1.7,3.718,,3.733,,45,0,45,126,613,6875
110,European Languages and Transcultural Studies with Italian BA,3.718,81.5,1.7,3.718,,3.733,,45,0,45,132,613,6875
111,European Languages and Transcultural Studies with German BA,3.718,81.5,1.7,3.718,,3.733,,45,0,45,133,613,6875
112,European Languages and Transcultural Studies with French and Francophone BA,3.719,81.5,1.7,3.719,,3.733,3.763,45,3,48,133,613,7222
113,Russian Language and Literature BA,3.726,84.0,2.0,3.726,,3.731,,13,0,13,50,21,1112
114,Spanish BA,3.731,82.7,1.9,3.731,,3.755,3.63,6,1,7,9,36,3244
115,Chicana and Chicano Studies BA,3.749,84.4,1.9,3.749,,3.797,3.723,11,40,51,91,102,11376
116,Public Affairs BA,3.755,83.5,1.1,3.755,,3.682,3.79,5,14,19,22,55,10655
117,Classical Civilization BA,3.757,84.5,1.7,3.757,,3.777,3.739,4,5,9,17,29,5773
118,Iranian Studies BA,3.76,84.0,2.2,3.76,,3.683,3.893,5,15,20,50,292,1548
119,Architectural Studies BA,3.774,84.8,0.6,3.774,,,3.777,0,12,12,12,37,3181
120,Global Jazz Studies BA,3.798,86.6,1.0,3.798,,3.748,3.779,5,22,27,37,204,2309
121,Film and Television BA,3.802,87.6,1.2,3.802,,3.604,3.797,2,27,29,47,158,12990
122,Theater BA,3.809,87.7,1.1,3.809,,,3.794,0,10,10,20,80,1817
123,Music Industry BA,3.817,88.1,1.6,3.817,,3.925,3.854,20,72,92,148,258,24247
124,Asian American Studies BA,3.824,89.2,1.4,3.824,,3.824,3.823,12,34,46,100,53,6353
125,Portuguese and Brazilian Studies BA,3.829,89.9,2.7,3.829,,3.933,,1,0,1,10,6,214
126,Music Education BA,3.837,89.3,1.0,3.837,,3.858,3.642,17,20,37,44,90,7752
127,Music Composition BA,3.842,89.6,1.0,3.842,,3.84,3.86,20,1,21,32,90,7201
128,Gender Studies BA,3.842,90.3,1.1,3.842,,3.846,3.86,2,3,5,11,29,3079
129,Education and Social Transformation BA,3.851,90.3,0.5,3.851,,3.535,3.882,1,14,15,25,172,4546
130,Design|Media Arts BA,3.855,91.2,1.0,3.855,,,3.859,0,14,14,33,27,2711
131,Musicology BA,3.867,91.6,1.0,3.867,,3.895,3.718,26,7,33,44,153,10045
132,Music History and Industry BA,3.869,91.8,1.0,3.869,,3.895,3.821,27,8,35,45,153,10767
133,Music BA,3.88,91.8,0.5,3.88,,3.878,3.976,17,1,18,24,62,6551
134,Music Performance BM,3.882,92.1,0.5,3.882,,3.9,3.643,22,8,30,113,62,8818
135,World Arts and Cultures BA,3.887,92.6,0.7,3.887,,3.682,3.918,2,8,10,13,20,1382
136,Art BA,3.897,93.0,0.3,3.897,,,3.883,0,19,19,27,27,2325
137,Dance BA,3.914,94.7,0.7,3.914,,,3.923,0,34,34,59,49,4270
